Prey \ predator,Killer whales,Toothed Wales,Porpoises,Gray Whales,Baleen whales,Sea Otters,Walrus Bd Seals,N. Fur Seal,Steller Sea Lion,Seals,Seabirds,Sleeper shark,W. Pollock,P. cod,Herring,Arrowtooth,Flatfish,Skates,Sablefish,Eelpouts,Deepwater Fish,POP,Demersal fish,Atka mackerel,Sculpins,Misc.fish shallow,Cephalopods,Salmon,Mesopelagics,Forage fish,Crustaceans,Sea stars,Urchins dollars cucumbers,Snails,Benthic Amphipods,Coral-like,Urochordata,Sea Pens & Sponges,Bivalves,Worms,Scyphozoid,Large Zooplankton,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Microbes,Macroalgae,Phytoplankton,Outside Production,Discards,Detritus,Outside Detritus
Worms,0,0,0,0.0193451,0.006017923,0,0.3217223,0,0,0.01047463,0.002151645,0,0.6691096,0.8914237,0.000906801,0.001708958,7.170474,0.004772997,1.17E-06,1.244244,0,9.31E-05,0.001085441,0,0.3155889,0.02779112,0,0,0,0,41.61356,0.4919968,0,2.921951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.2277,0
Scyphozoid,0,0,0,0,0,0,0,0,0,0,0,0,0.00306993,3.63E-05,0,3.65E-06,0.1020078,1.29E-05,0.000554552,0,0,0,0,0,6.30E-06,0.1003852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2699157,0
Large Zooplankton,0,0,0,0,1.363816,0,0,0,0,0,0.06963733,0,59.11985,2.884264,4.019156,0.5590996,7.264571,0.000523852,0.01779414,0.001265213,0,0.308496,0.03282021,1.20636,0.2141695,0.1639617,3.100639,0.7276176,3.245125,19.29634,36.91007,0,0,0,0,0,0,0,0,0,0.6995159,11.75087,0,0,0,0,0,0,0,0,0,80.4201,0
Pelagic Amphipods,0,0,0,0,0.1181292,0,0,0,0,0,0.006063813,0,1.354748,0.03879059,0.000922964,1.56E-06,1.004562,0,2.20E-06,0.005120239,0,8.00E-07,2.15E-05,0,0.08005638,0.03270204,0.7615604,0.2798529,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1175087,0,0,0,0,0,0,0,0,0.05717801,2.801723,0
Gelatinous filter feeders,0,0,0,0,0,0,0,0,0,0,0,0,0.5301268,0.0753882,0,0.000203577,0.4519878,0,0,0,0,4.13E-05,0,0.002364281,0.07115474,0.9084916,0.5439717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05068956,0.705052,0,0,0,0,0,0,0,0,0,3.318626,0
Pteropods,0,0,0,0,0.01707195,0,0,0,0,0,0,0,0.26214,0.02933422,0,4.90E-07,0.1012175,0,0.003556378,0,0,5.07E-05,4.48E-05,0,0.03566186,0,0,0.2238823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1175087,0,0,0,0,0,0,0,0,0,1.435158,0
Copepods,0,0,0,0,1.598476,0,0,0,0,0,0.09666891,0,50.65923,0.07589732,0.3590595,0.00050333,1.938704,0,0.005334567,0,0,0.0170102,0.01287684,0.06809696,0.03044553,0.08248899,2.175887,0.7835882,0.3605694,2.144037,15.42687,0,0,0,0,0,0,0,0,0,0.1520687,84.60624,3.026793,3.026409,0.9063079,0,0,0,0,0,0,156.0241,0
Microbes,0,0,0,0,0,0,0,0,0,0,0,0,0.000203167,0.000268748,0,0,0.2830233,0,0,0.003102866,0,0,0,0,0.03051423,0,0,0,0,0,21.17689,0,0,0,165.7097,0.1835757,0.9518236,0.02780974,76.41324,180.9719,0.05068956,73.3254,1.816076,1.815845,0.5437847,149.0047,376.192,0,0,0,0,832.4595,0
Macroalgae,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01788044,0,0,0.1924606,0,0,0,0,0,0,0,0,0.2101849,0,0,0,0,0.7078832,0,0.3560625,0.5843902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.306932,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05068956,299.3651,7.264303,7.263381,2.175139,596.019,1097.227,0,0,0,0,719.0137,0
Outside Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,101
Discards,0,0,0,0,0,0,0,0,0,0,0.00118518,0.01597419,0,0.8399593,0,0.07412701,0.3853091,0.1205839,0.001393876,0.00296176,0,0,0,0,0.06726182,0.02335388,0,0,0,0,0.8230041,0,0.3560625,0,0,0,0,0,0,0.3296392,0,0,0,0,0,0,0,0,0,0,0,0.8872025,0
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,2.563616,0,0,0,2.689532,0,0,0,0,0,0,0,0,0.01401233,0,0,0,0,80.21975,14.7599,2.8485,2.337561,260.401,0.7343028,3.807294,0.111239,241.305,131.8557,0,0,0,0,0,0,1661.515,0,0,0,0,0,0
Outside Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.34564,0,0,0,0,16.48196,0,0,0,0,0,0,0,0,0,0,0,37.1724,0
