Prey \ predator,Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray others,Thornback Spotted ray,Skate cuckoo ray,Juvenile Cod,Cod adult,Juvenile Whiting,Whiting adult,Juvenile Haddock,Haddock adult,Juvenile Saithe,Saithe adult,Hake,Blue whiting,Norway pout,Other gadoids large,Other gadoids small,Monkfish,Gurnards,Herring juvenile,Herring adult,Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish Wolffish,Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid cuttlefish,Fish larvae,Carnivorous zooplankton,Copepods,Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos,Infaunal macrobenthos,Shrimp,Swarming crustaceans,Polychaetes,Sessile epifauna,Meiofauna,Benthic microflora,Planktonic microflora,Phytoplankton,Detritus water column,Detritus sediment,Discards
Thornback Spotted ray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02287588,0.05337705,0
Skate cuckoo ray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01062948,0.02480212,0
Juvenile Cod,0,0.00746154,0.006786278,0.002073393,0,0,0,0,0.0009112,0.00520641,0,0,9.92E-05,0.006764706,0.001443095,0.008841717,0,4.58E-05,0,0,0,0,0,0.004467759,0,0.000917608,0.007047505,0,0,0,0.000297558,0.01138196,0,0,0,0,0,0,0,0,0.007153205,0,0.001088014,0,0,0,0,0,0.01711829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07610695,0.1775829,0
Cod adult,0,0,0.01365846,0,0,0,0,0,0,0,0,0,0,0.004509804,0,0,0,0,0,0,0,0,0,0,0,0.000917608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04829048,0.1126778,0
Juvenile Whiting,0.001363335,0.006202967,0.000923449,0.000518348,1.00E-06,8.30E-05,0,5.92E-07,0,0.000518788,0.000242904,0.000129692,0.001988261,0.002367647,0.000227857,0.004036435,0,0,0.000693777,0.000281023,8.01E-05,0,0,0.000752809,0.000362819,0.000781962,0.00197133,0,0,0,2.50E-05,0.005690981,0,0,0,0.000475952,0,0,0,0,0.00140332,0,0.005279884,0,0,0,0,0,0.001439856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02615633,0.06103145,0
Whiting adult,0,0.01908836,0.01479666,0,4.80E-05,0.003989237,0,3.49E-05,0,0.000833767,0,0,0,0.05597794,0,0.003267591,0,0,0,0.0165407,0,0,0,0,0,0.009343645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1176814,0.27459,0
Juvenile Haddock,0,0.000419524,6.44E-05,0.000323968,0,8.55E-06,0,0,0,0.000111169,1.52E-05,2.41E-05,0.001093543,0.000507353,0.000151905,0.001345478,0,0.000228814,0.00011563,0.000551919,0,0,0,3.27E-05,0,0.000223418,7.39E-05,0,0,0,0,0.001829244,0,0,0,0,0,0,0,0,0,0,0.001036204,0,0,0,0,0,0.000639936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006500583,0.01516803,0
Haddock adult,0,0.001108743,0.002534116,0,0,0.000204939,0,0,0,0,0,0,0,0.01189461,0,0,0,0,0,0.001687827,0,0,0,0,0,0.005258293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02764503,0.06450506,0
Juvenile Saithe,0,0.01666111,0.000708694,0,0,0,0,0,0,0,0,0,0,0,0,0.000384423,0,0,0,0,0,0,0,0,0,0.00029523,2.46E-05,0,0,0,0,0.002235743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01711829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917123,0.2139954,0
Saithe adult,0,0.003775719,0.006721851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004435028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705401,0.1645936,0
Hake,0,0.001678097,0,0,0,0,0,0,0,0,0,8.44E-05,0,0,0,0,0,0,0,0,0.000227897,0,0,0,0,0.000606419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002926484,0.006828461,0
Blue whiting,0,0.000749151,0,0,8.75E-06,0.000720819,0,0.000438124,0,0,0,0.000158161,0,0.01155637,0,0,0,0,0,0.02869305,0.01003056,0,0,0.006742552,0,0,2.46E-05,0,0,0,0.001487787,0.03414588,0,0,0,0,0,0,0,0,0,0.00570157,0,0,0,0.00035799,0,0,0.0169583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04985948,0.1163388,0
Norway pout,0.003562482,0.06706396,0,0,0.000182768,0.00332142,0.000324225,0.000124925,0.00482936,0.02049213,0.000212541,0.004924088,0.1261552,0.0414902,0.05210333,0.3936486,0.000980122,0.04155266,0.2761232,0.2715713,0.003344546,0.06813119,0,0.01810015,0.000484164,0.01054052,0.01752019,0,0,0,0.0279704,0.4542622,0,0,0,0.006425358,0.03520352,0,0,0,0.01418222,0.02525132,0.02107747,0,0,0,0,0,0.0169583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6519454,1.521206,0
Other gadoids large,0,0.004345074,0.01496847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001784751,0,0,0,0,0,0.004287739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01079351,0.02518485,0
Other gadoids small,0,0.01417393,0.005970207,0.001555045,6.50E-06,0.004423849,3.14E-05,6.10E-05,0.006834,0.008689702,0.004964356,0.006010129,0.03678283,0.0127402,0.004974881,0.03978772,0.000115309,0.001738988,0.02416656,0.03054966,0.001509049,0,0,0.002372985,0.02050718,0,0.0185305,0,0,0,0.03392155,0.06910478,0,0,0,0.03165084,0,0,0,0,0.004222378,0.02394449,0.003134274,0,0,0.001112789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07978081,0.1861552,0
Monkfish,0,0,0.002233458,0,0,0,0,0,0,0,0,8.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006072436,0.01416902,0
