Prey \ predator,Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray others,Thornback Spotted ray,Skate cuckoo ray,Juvenile Cod,Cod adult,Juvenile Whiting,Whiting adult,Juvenile Haddock,Haddock adult,Juvenile Saithe,Saithe adult,Hake,Blue whiting,Norway pout,Other gadoids large,Other gadoids small,Monkfish,Gurnards,Herring juvenile,Herring adult,Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish Wolffish,Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid cuttlefish,Fish larvae,Carnivorous zooplankton,Copepods,Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos,Infaunal macrobenthos,Shrimp,Swarming crustaceans,Polychaetes,Sessile epifauna,Meiofauna,Benthic microflora,Planktonic microflora,Phytoplankton,Detritus water column,Detritus sediment,Discards
Lemon sole,0,0,0.005154135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00090165,0,0,0,0,0,0,0,0,0,0,0.03520352,0,0,0,0,0,0,0,0,0,0,0,0.008639135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1387354,0.3237159,0
Witch,0,0,0.005368891,0,0,0.000229673,0,0,0,1.85E-05,0,8.44E-05,9.92E-05,0.000676471,0,0,0,4.58E-05,0,0,0,0,0,0,0,0.00029523,2.46E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008639135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02735781,0.06383488,0
Turbot and brill,0,0,0.002276409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01942089,0.04531541,0
Megrim,0,0,0.002362312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01182726,0.02759694,0
Halibut,0,0,0,0,0,0,0,0,0,3.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007391606,0.01724708,0
Dragonets,0,3.00E-05,0.002276409,0,2.50E-06,0.000904557,0.000173795,9.83E-05,0,0.001019048,0,0.007243787,0.005258949,0.008625,0,0.000768845,9.51E-06,0.000228814,0,0,0,0,0,0,0.006055078,0.00029523,0.005790782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008879412,0.003235457,0,0,0,2.16E-05,0.007180024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190209,0.0443821,0
Catfish Wolffish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001846167,0.004307723,0
Large demersal fish,0,0,0,0,0,0,0,0,0,3.71E-05,0,0.000158161,0,5.64E-05,0,0.000768845,0,4.58E-05,0,8.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002868064,0.00669215,0
Small demersal fish,0,8.99E-05,0.02222721,0,2.50E-05,0.000356876,3.46E-05,1.48E-05,0.00041004,0.001741646,0.01056634,0.001128217,0.06998678,0.008906862,0.01059536,0.02690957,0.00020179,0.000549154,0,8.35E-05,0.000517388,0,0,0.001145579,0.01674551,0.003311369,0.004657268,0,0,0,0.000595115,0.0136177,0,0,0,0.04473953,0.008080808,0.00626944,0.008959681,0.0020172,0.01409529,0.000653415,0,0,0,0.002838042,0.04944734,0,0.008639135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08439715,0.1969267,0
Miscellaneous filterfeeding pelagic fish,0.01726434,0,0,0,9.25E-06,0,0,2.43E-05,0,0,0,0,9.92E-05,0,0.000189881,0.005958548,0,0.000137289,0.01225673,0.008692307,0.000341846,0.00739296,0,0,0,0.00029523,4.93E-05,0,0,0,0.000595115,0,0,0,0,0,0,0,0,0,0,0.002582042,0,0,0,0.000241536,0,0.01605636,0.0339166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01885496,0.04399491,0
