Prey \ predator,Transient Killers,Sperm and Beaked Whales,Resident Killers,Porpoises,Belugas,Gray Whales,Humpbacks,Fin Whales,Sei Whales,Right Whales,Minke Whales,Bowhead Whales,Sea Otters,Walrus Bd Seals,N Fur Seal Juv,N Fur Seal Ad,Steller Sea Lions Juv,Steller Sea Lions Ad,Resident Seals,Wintering Seals,Shearwater,Murres,Kittiwakes,Auklets,Puffins,Fulmars,Storm Petrels,Cormorants,Gulls,Albatross Jaeger,Sleeper shark,W Pollock Juv,W Pollock Ad,P Cod Juv,P Cod Ad,Herring Juv,Herring Ad,Arrowtooth Juv,Arrowtooth Ad,Kamchatka fl Juv,Kamchatka fl Ad,Gr Turbot Juv,Gr Turbot Ad,P Halibut Juv,P Halibut Ad,YF Sole Juv,YF Sole Ad,FH Sole Juv,FH Sole Ad,N Rock sole Juv,N Rock sole Ad,AK Plaice,Dover Sole,Rex Sole,Misc Flatfish,Alaska skate,Other skates,Sablefish Juv,Sablefish Ad,Eelpouts,Grenadiers,Misc fish deep,POP,Sharpchin Rock,Northern Rock,Dusky Rock,Shortraker Rock,Rougheye Rock,Shortspine Thorns,Other Sebastes,Atka mackerel Juv,Atka mackerel Ad,Greenlings,Lg Sculpins,Other sculpins,Misc fish shallow,Octopi,Squids,Salmon returning,Salmon outgoing,Bathylagidae,Myctophidae,Capelin,Sandlance,Eulachon,Oth managed forage,Oth pelagic smelt,Bairdi,King Crab,Opilio,Pandalidae,NP shrimp,Sea stars,Brittle stars,Urchins dollars cucumbers,Snails,Hermit crabs,Misc crabs,Misc Crustacean,Benthic Amphipods,Anemones,Corals,Hydroids,Urochordata,Sea Pens,Sponges,Bivalves,Polychaetes,Misc worms,Scyphozoid Jellies,Fish Larvae,Chaetognaths,Euphausiids,Mysids,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Pelagic microbes,Benthic microbes,Macroalgae,Lg Phytoplankton,Sm Phytoplankton,Outside Production,Discards,Offal,Pelagic Detritus,Benthic Detritus,Outside Detritus
Sleeper shark,0,0.000145857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01456662,0.02184993,0
W Pollock Juv,0,0,0.000810212,0.01236727,0.08358493,0,0.01284259,0.2096804,0.005536498,0,0.04038251,0,0.000980579,0,0.02202627,0.393328,6.04E-05,0,0.004080777,0.03050694,0,0.1584805,0.01627336,0.000492171,0.00386527,0.01111723,4.10E-06,0.000266175,1.47E-05,0.001297469,0,0.3692352,3.140862,0.0109709,0.1821246,0,0,0.008372051,0.6367984,0.000961836,0.01624845,0.000706303,0.4481187,0,0.004635631,0,0.01061577,0.000303405,0.4284663,0,0.003919746,0,0,0,0.01408737,0.002195206,0,0,0,6.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0001126,0.1029833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001013791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1538019,3.014517,4.521776,0
W Pollock Ad,0,0,0.006739749,0,0,0,0,0,0,0,0,0,0.008156952,0,0,0,0.000502279,0.006089391,0.03394592,0.253772,0,0,0,0,0,0,0,0,0,0,0.03194838,0,6.067482,0,1.647431,0,0,0,0.2643678,0,0.005960051,0,0.1738752,0,0.1270401,0,0,0,0,0,0,0,0,0,0,0.55076,0.08342072,0,0.02484302,0.01869879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3517693,6.894679,10.34202,0
P Cod Juv,0,0,3.53E-05,0.000539247,0.003644531,0,0,0,0,0,0,0,4.28E-05,0,0.000513946,0.009177651,0.000119715,0.001295615,0.01063684,0.002868607,0,0.1170894,0.000709563,2.15E-05,0.000168536,0.000484742,1.79E-07,1.16E-05,6.39E-07,5.66E-05,0,0,0.02172183,0,0.002573418,0,0,0,3.39E-06,0,0,0,0,0,2.78E-06,0,2.12E-05,4.57E-07,0.00027456,0,0,0,0,0,0.000140113,0,0.000719444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58E-06,0.09157752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007905252,0.154943,0.2324144,0
P Cod Ad,0,0.006752118,0.000898685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04795486,0,0.03410119,0,0,0,1.64E-06,0,0,0,0.002060016,0,0.0115515,0,0,0,0,0,0,0,0,0,0,0.008692681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000982157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03789528,0.7427474,1.114121,0
Herring Juv,0,0,4.36E-06,6.66E-05,0.000449985,0,6.91E-05,0.001128826,2.98E-05,0,0.000217402,0,5.28E-06,0,0.004405253,0.07866558,5.13E-05,0.000555264,0.006648026,0.02581746,0,2.67E-05,0.000184479,0,0,0,0,0.001388907,0,6.99E-06,0,0,0.000116173,0,0.01131782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00745075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005069906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001013791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006039754,0.1183792,0.1775688,0
Herring Ad,0,0,0.000222963,0,0,0,0,0,0,0,0,0,0.000269847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06371476,0,0.00229518,0,0,0,0.0182292,0,0,0,0.02018828,0,0.000640456,0,0,0,0,0,0,0,0,0,0,0.002603061,0,0,1.98E-05,0.003517956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04665074,0.9143546,1.371532,0
Arrowtooth Juv,0,0,3.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028273,0,0,0,0.004643642,0,3.47E-07,0,0,0,0,0,1.38E-06,0,0,0,0,0,0,0,0,0,0,0,9.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154928,0.003036589,0.004554883,0
Arrowtooth Ad,0,0,0.000344291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01919693,0,0.05976104,0,0.004303419,0,0,0,3.37E-06,0,0,0,0,0,0.000218295,0,0,0,0,0,0,0,0,0,0,0.03578386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006440493,0.1262337,0.1893505,0
Kamchatka fl Juv,0,0,2.04E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49E-05,0.000291964,0.000437945,0
Kamchatka fl Ad,0,0,2.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001139857,0,1.20E-05,0,0.000411088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000297033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141656,0.002776462,0.004164693,0
Gr Turbot Juv,0,0,1.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003891984,0.007612932,0,0.00038885,0,0,0,0,0,0,0,0,0,0,0,4.68E-05,0,1.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025039,0.004907638,0.007361458,0
Gr Turbot Ad,0,0,0.00012735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007100788,0,0.0220722,0,0.000216028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01132698,0.2220088,0.3330132,0
P Halibut Juv,0,0,8.09E-06,0,0,0,0,0,0,0,0,0,9.79E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000133278,0,0.00089079,0,0,2.30E-05,0,0,0,0,0,0,4.22E-07,0,0.000161078,0,0,0,0,0.000144818,0,0,0,0.001817833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51E-05,0.001863378,0.002795067,0
P Halibut Ad,0,0,8.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004510801,0,0.000189582,0,0.005481615,0,0,0,0,0,0,0,0,0,1.00E-05,0,0,0,0,0,0,0,0,0,0,4.19E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001225865,0.02402695,0.03604043,0
YF Sole Juv,0,0,0.000176214,0,0,0,0,0,0,0,0,0,0,0,0.001298103,0.02318052,4.54E-05,0.000490862,0.004701564,0.005071783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001009593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02328875,0.02210491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003045873,0.05969912,0.08954868,0
YF Sole Ad,0,0,0.001762141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76E-05,0,0.03534181,0,0,0,0.000389126,0,0,0,0,0,0.008079192,0,0,0,0,0,0,0,0,0,0,0.009292586,0.007895916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004879743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004308751,0.08445152,0.1266773,0
FH Sole Juv,0,0,4.35E-05,0,0,0,0,0,0,0,0,0,0,0,0.000320636,0.005725676,1.12E-05,0.000121245,0.001161304,0.001252749,0,0,0,0,0,0,0,0,0,0,0,0,3.61E-05,0,0.003517719,0,0,5.09E-05,0.01537219,0,1.56E-06,0,0,0,0.000125779,0,4.73E-07,0,0.004130533,0,0,0,0,0,0,0,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192836,0,0.01726848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002617301,0.05129911,0.07694867,0
FH Sole Ad,0,0,0.000435256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01609837,0,0.01837851,0,0,0,0.000283848,0,2.43E-05,0,1.25E-05,0,0.002631807,0,0,0,0,0,0,0,0,0,0,1.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001962812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01972562,0.386622,0.5799331,0
N Rock sole Juv,0,0,0.000117604,0,0,0,0,0,0,0,0,0,0,0,0.000866342,0.01547046,3.03E-05,0.000327596,0.00313778,0.00338486,0,0,0,0,0,0,0,0,0,0,0,0,0.001518082,0,0.001268795,0,0,5.29E-07,1.63E-05,0,0,0,0,0,3.55E-05,7.80E-06,0.000438421,0,3.04E-05,0,0,0,0,0,0,0.000323291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007946584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002410567,0.04724711,0.07087067,0
N Rock sole Ad,0,0,0.001176036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001539463,0,0.08424142,0,0,0,3.97E-06,0,0,0,0,0,0.007893275,0,0,0,0,0,0,0,0,0,0,0.1155911,0.003772409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002454016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02771408,0.5431959,0.8147939,0
AK Plaice,0,0,0.000389521,0,0,0,0,0,0,0,0,0,0,0,0.002869456,0.05124053,0.000100259,0.001085049,0.0103928,0.01121117,0,0,0,0,0,0,0,0,0,0,0,0,8.62E-07,0,0.000700534,0,0,0,0,0,0,0,0,0,0.001203237,0,0.000375026,0,5.37E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001273567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01059996,0.2077593,0.3116389,0
Dover Sole,0,0,8.38E-08,0,0,0,0,0,0,0,0,0,0,0,6.17E-07,1.10E-05,2.16E-08,2.34E-07,2.24E-06,2.41E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40E-06,4.70E-05,7.05E-05,0
Rex Sole,0,0,1.48E-05,0,0,0,0,0,0,0,0,0,0,0,0.00010911,0.001948398,3.81E-06,4.13E-05,0.000395182,0.0004263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000236613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000410345,0.00804277,0.01206416,0
Misc Flatfish,0,0,5.56E-05,0,0,0,0,0,0,0,0,0,0,0,0.000409406,0.007310858,1.43E-05,0.000154812,0.001482817,0.001599579,0,0,0,0,0,0,0,0,0,0,0,0,3.54E-05,0,0.008088498,0,0,0,0,0,0,0,0,0,0.006540267,0,1.32E-05,0,0,0,0,0,0,0,0,0.002263648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06E-05,0.001069727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001934127,0.03790889,0.05686333,0
Alaska skate,0,0.001863921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26E-06,0,0,0,0,0,0,0,0,0,4.17E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007642755,0.149798,0.224697,0
Other skates,0,0.000254563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001028823,0.02016493,0.0302474,0
Sablefish Juv,0,1.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000367104,0.000591106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65E-05,0.000911894,0.001367842,0
Sablefish Ad,0,8.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000250075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359602,0.007048189,0.01057228,0
Eelpouts,0,0.005131734,0,0.01042574,0.07046294,0,0,0,0,0,0,0,0,0,0,0,1.71E-05,0.000185088,0.01329605,0.03471014,0,0,0,0,0,0,0,0,0,0,0,0,0.04994711,0.000107231,0.254222,0,0,1.38E-05,0.05829768,0,0.001470227,0,0.1202549,0,0.002257966,0,7.89E-05,0.002127654,0.004827423,0,0.002935713,9.25E-05,0,0,0.01861141,0.118582,0.005894342,0,1.83E-05,0.08754272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03599431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01999443,0.3918908,0.5878362,0
Grenadiers,0,0.002651846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03194838,0,0,0,0,0,0,0,6.84E-06,0,0,0,1.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009870981,0.1934712,0.2902068,0
Misc fish deep,0,2.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001226677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.10E-05,0.001392154,0.002088231,0
POP,0,0.000456473,0,0,0,0,0,0,0,0,0,0,0,0,5.62E-05,0.001002928,5.23E-06,5.66E-05,0.000809316,0,0,0.00044762,5.57E-05,0.000148015,2.65E-05,2.90E-05,1.92E-07,7.08E-06,5.85E-06,0,0,0,0,0,0.000709861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001384695,0.02714002,0.04071004,0
Sharpchin Rock,0,3.39E-06,0,0,0,0,0,0,0,0,0,0,0,0,4.16E-07,7.44E-06,3.88E-08,4.20E-07,6.00E-06,0,0,3.32E-06,4.13E-07,1.10E-06,1.97E-07,2.15E-07,1.43E-09,5.25E-08,4.34E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28E-05,0.000251738,0.000377606,0
Northern Rock,0,6.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,7.61E-06,0.000135979,7.09E-07,7.68E-06,0.000109729,0,0,6.07E-05,7.55E-06,2.01E-05,3.59E-06,3.93E-06,2.61E-08,9.60E-07,7.93E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000234678,0.00459969,0.006899535,0
Dusky Rock,0,1.67E-06,0,0,0,0,0,0,0,0,0,0,0,0,2.06E-07,3.69E-06,1.92E-08,2.08E-07,2.98E-06,0,0,1.64E-06,2.04E-07,5.42E-07,9.71E-08,1.06E-07,7.06E-10,2.60E-08,2.14E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48E-06,0.000107497,0.000161245,0
Shortraker Rock,0,2.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.20E-06,5.71E-05,2.98E-07,3.23E-06,4.61E-05,0,0,2.55E-05,3.17E-06,8.43E-06,1.51E-06,1.65E-06,1.10E-08,4.04E-07,3.33E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64E-05,0.001694014,0.002541021,0
Rougheye Rock,0,1.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,1.24E-06,2.22E-05,1.16E-07,1.25E-06,1.79E-05,0,0,9.91E-06,1.23E-06,3.28E-06,5.86E-07,6.42E-07,4.26E-09,1.56E-07,1.29E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24E-05,0.000634364,0.000951546,0
Shortspine Thorns,0,1.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,1.55E-06,2.78E-05,1.45E-07,1.57E-06,2.24E-05,0,0,1.24E-05,1.54E-06,4.09E-06,7.32E-07,8.01E-07,5.32E-09,1.96E-07,1.62E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86E-05,0.000364651,0.000546977,0
