Group,ID
Birds,1
Seals,2
Toothed whales,3
Fish adult,4
Fish juvenile,5
Baleen whales,6
Squid,7
Meopelagic fish,8
Macrozooplankton,9
Macrobenthos,10
Mesozooplankton,11
Ciliates,12
Heterotrophic flagellates,13
Meiobenthos,14
Bacteria column,15
Bacteria sediment,16
Phytoplankton,17
Detritus column,18
Detritus sediment,19
