Group,ID
Killers Whales,1
Toothed Whales,2
Porpoises,3
Gray Whales,4
Baleen whales,5
Sea Otters,6
Walrus Bd Seals,7
N Fur Seal,8
Steller Sea Lion,9
Resident seals,10
Wintering seals,11
Mobile Seabirds,12
Inshore Seabirds,13
Sleeper shark,14
W Pollock,15
P cod,16
Herring,17
Arrowtooth,18
Kamchatka fl,19
Gr Turbot,20
P Halibut,21
YF Sole,22
FH Sole,23
N Rock sole,24
Flatfish,25
Skates,26
Sablefish,27
Eelpouts,28
Deepwater Fish,29
POP,30
Rockfish,31
Shortspine Thorns,32
Other Sebastes,33
Atka mackerel,34
Greenlings,35
Sculpins,36
Misc fish shallow,37
Octopi,38
Squids,39
Salmon,40
Bathylagidae,41
Myctophid,42
Forage fish,43
Bairdi,44
King Crab,45
Opilio,46
Pandalidae,47
NP shrimp,48
Sea stars,49
Brittle stars,50
Urchins dollars cucumbers,51
Snails,52
Hermit crabs,53
Misc crabs,54
Misc Crustacean,55
Benthic Amphipods,56
Coral-like,57
Urochordata,58
Sea Pens & Sponges,59
Bivalves,60
Polychaetes,61
Misc worms,62
Scyphozoid,63
Fish Larve,64
Chaetognaths,65
Euphasids,66
Mysids,67
Pelagic Amphipods,68
Gelatinous filter feeders,69
Pteropods,70
Copepods,71
Pelagic microbes,72
Benthic microbes,73
Macroalgae,74
Large Phytoplankton,75
Sm Phytoplankton,76
Outside Production,77
Discards,78
Offal,79
Detritus,80
Outside Detritus,81
