Prey_\_predator,Baleen_whales,Toothed_whales,Beaked_whales,Seabirds,Pelagic_sharks,Yellowfin,Bluefin,Skipjack,Albacore,Bigeye,Swordfish,Billfishes,Lg_Plank_fish,Lg_Epi_fish,Md_Epi_fish,Sm_Epi_fish,Lg_Meso_fish,Sm_Meso_fish,Sm_Bathyp_fish,Md_Bathyp.fish,Lg_Bathyp_fish,Sm_Bathyd_slp,Lg_Bathyd_slp,Sm_Bathyd_abs,Lg_Bathyd_abs,Sm_Squids,Lg_Squids,Benth_ceph.,Meiobenthos,Macrobenthos,Megabenthos,Het_bacteria,Sm_Zoop_shlw,Lg_Zoop_shlw,Sm_Zoop_deep,Lg_Zoop_deep,Detritus
Baleen_whales,0,0.000283798,0,0,8.62E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01826219
Toothed_whales,0,0.000283798,0,0,8.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05781977
Beaked_whales,0,2.87E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000797252
Seabirds,0,2.87E-06,0,0,1.72E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001846558
Pelagic_sharks,0,0,0,0,0.000155166,0,0,0,0,0,0,7.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003515363
Yellowfin,0,0,0,0,1.72E-07,0,0,0,0,0,0,0,0,4.97E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000291808
Bluefin,0,0,0,0,1.72E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17E-06
Skipjack,0,0,0,0,0.000103271,0.000194336,0,0,4.52E-05,0,0,0,0,7.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124019
Albacore,0,0,0,0,1.72E-05,0,0,0,0,0,0,0,0,2.48E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000302902
Bigeye,0,0,0,0,0.000419982,0,0,0,0,0,0,0,0,0.000170861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03367301
Swordfish,0,0,0,0,1.72E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000302154
Billfishes,0,0,0,0,1.72E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001727965
Lg_Plank_fish,0,0,0,0,1.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000709329
Lg_Epi_fish,0,0,0,0,0.00170958,0,0,0,0,0,0,0.002203167,0,0.000993379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206376
