Prey \ predator,Marine birds,Dolphins and porpoise,Baleen whales,Seals,Black seabass,Goosefish,Tilefish,Scup,Spot,Butterfishes,Atlantic salmon,Striped bass,Weakfish,Spiny dogfish,Ocean pout,Billfishes,Jacks,Coastal sharks,Tunas,Rays and skates,Bluefish,Cods and hakes,Redfish,Benthic piscivores,Flounders,Demersal piscivores,Demersal invertebrate eaters,Demersal planktivores,Benthic invertebrate eaters,Med. pel. pisc (Mackerel),Atlantic menhaden,Drum / croaker,Snapper / grouper,Forage fish,Large pelagic planktivores,Stomatopods,Squid,Shrimp,Crabs,Lobsters,Octopods,Echonoderms,Bivalves,Sessile epibenthos,Euphausiids,Mysids,Polychaetes,Small crustaceans,Macrozooplankton,Microzooplankton,Jellies,Phytoplankton,Macrophytes,Microphytobenthos,Detritus
Redfish,0,0,0,0.004,0,0.02001196,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.009999161,0,0,0,0.00200001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic piscivores,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.01,0.018,0,0.01000294,0.004999998,0,0,0.000999696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flounders,0,0,0,0.014,0,0.06351286,0,0,0,0,0,0.04999999,0,0.04965181,0,0,0,0.05,0.001,0.01597639,0.01000051,0,0,0.02300617,0,0,0,0,0.000999824,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demersal piscivores,0.122,0.1,0,0.044,0,0.03175643,0,0,0,0,0,0.02,0,0,0,0,0,0.02,0.012,0.005680494,0,0,0,0.02000013,0,0.009004547,0,0,0,0,0,0.02598637,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demersal invertebrate eaters,0.122,0.1,0,0.193,0,0.03175643,0,0,0,0,0,0.07,0.02563183,0,0,0.111,0.413,0.186,0.129,0.01100596,0.01000051,0,0,0.02000013,0,0.2571299,0.02000645,0.02,0,0,0,0.1339297,0.174,0,0,0.01,0,0,0,0.09,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demersal planktivores,0,0,0,0,0.02247289,0.02001196,0,0,0,0,0,0.04999999,0,0,0,0,0,0,0,0,0,0,0,0.01000099,0,0.00800004,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic invertebrate eaters,0,0,0,0,0,0.02001196,0,0,0,0,0,0.04999999,0,0,0,0,0,0.03,0.037,0,0,0,0,0.02000013,0,0.03901971,0.003000967,0,0.01998891,0,0,0.02198846,0.119,0,0,0,0,0,0,0.03,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Med. pel. pisc (Mackerel),0,0.04,0,0.014,0.2761236,0.09005383,0,0,0,0,0,0,0,0.1418623,0,0.22,0.054,0.026,0.167,0,0.03000883,0.07999144,0,0.2181262,0.007742599,0.1000505,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantic menhaden,0,0,0,0.243,0,0,0,0,0,0,0,0.05499999,0,0,0,0.061,0.195,0.029,0.0545,0,0.01500442,0.04998944,0,0.01000099,0,0.09654874,0.04951596,0,0,0,0,0.06896383,0.08800001,0,0,0,0,0,0,0.01,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drum / croaker,0,0,0,0,0,0.02001196,0,0,0,0,0,0.04999999,0,0,0,0.001,0,0,0.001,0,0.01000051,0,0,0.01000007,0,0.002001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snapper / grouper,0,0,0,0,0,0.01000017,0,0,0,0,0,0.04999999,0.02563183,0.01000129,0,0,0,0.069,0.01,0.01065093,0,0,0,0,0,0.01400707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forage fish,0.26,0.639,0.59,0.08,0.1500672,0.1500492,0.09,0.03998047,0,0,0,0.23,0.6536115,0.2624453,0,0.061,0.195,0.029,0.0545,0.07988694,0.438129,0.2159921,0,0.06901851,0.05815466,0.1170591,0.02998633,0,0.03683998,0.09997191,0,0.06896383,0.18,0.009997224,0,0.04,0,0,0,0.01,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large pelagic planktivores,0,0,0,0.003,0,0.0600198,0,0,0,0,0,0,0,0,0,0.193,0.032,0,0.211,0,0,0,0,0.1500877,0,0.008004043,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stomatopods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0.01100556,0,0,0.001999648,0,0,0.01199371,0.02,0,0,0,0,0,0,0,0.04000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squid,0.263,0.1,0.1,0.148,0.0500224,0.180377,0,0.04648893,0,0.03999368,0,0.04999999,0.08971139,0.09930363,0,0.106,0.019,0.11,0.12,0.01000088,0.1951318,0.02000269,0,0.05002895,0.02006297,0.003001515,0.00400129,0,0.01999843,0.03998877,0,0.001998951,0.004000001,0,0,0.15,0.01999152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrimp,0.005,0,0,0,0.1000448,0,0.05,0.03254225,0.03,0,0,0.04999999,0.02050546,0.02269797,0.02999368,0.023,0.039,0.048,0.023,0.02000175,0,0.02000269,0.02600007,0.04002317,0.02006297,0.07003537,0.01999167,0.086,0.02999764,0.009997194,0,0.1529198,0.02,0.001000126,0,0.15,0,0,0.02,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crabs,0,0,0,0.004,0.1000448,0,0.05,0.03254225,0,0,0,0.04999999,0.02050546,0.02269797,0.02999368,0.031,0.005,0.05,0.031,0.02000175,0,0.02000269,0.02100005,0.04002317,0.02005973,0.05002525,0.004997918,0.023,0.02999764,0.009997194,0,0.06796435,0.1,0.001000126,0,0.07000001,0,0,0,0.17,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lobsters,0,0,0,0,0.0500224,0,0,0.01627113,0,0,0,0,0.01025273,0.01134899,0.01999579,0.001,0,0.05,0.001,0.02000175,0,0.02000269,0.01300003,0.02001158,0.01941084,0.004002022,0,0,0.01999843,0.005480119,0,0,0.019,0.001000126,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Octopods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.01000099,0,0.01100556,0.002000645,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echonoderms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3759132,0,0,0.01,0,0,0,0.000999789,0,0,0.05614517,0.007003536,0.0580187,0.004,0,0,0,0,0.018,0,0,0.02,0,0,0,0.08,0.03,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0
Bivalves,0,0,0,0,0.06741866,0,0,0.09297785,0.142,0,0,0,0,0.08511738,0.1219743,0.001,0,0.001,0,0.2200193,0,0.04998944,0,0,0.05818259,0,0.06497294,0,0.3999887,0.01000122,0,0,0,0,0,0.11,0.009995759,0,0.22,0.334,0.1,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessile epibenthos,0,0,0,0,0.02247289,0,0.05,0.04648893,0,0.1841814,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0.04186245,0,0.06502096,0.016,0,0,0,0.06496591,0,0,0,0,0,0,0,0.07,0.03,0.102,0,0.01,0,0,0,0,0,0,0,0,0,0,0
Euphausiids,0,0,0.1,0,0.05618222,0,0,0,0,0,0.1,0.04999999,0,0.03546558,0,0,0,0,0,0.05358827,0,0.1190022,0.4598928,0.001000584,0.01749063,0,0,0,0,0.1096023,0,0,0,0.1499199,0.1,0,0.1364571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mysids,0,0,0.1,0,0,0.01000314,0.1,0,0,0,0.1,0,0.03844773,0,0.02999308,0,0,0,0,0,0,0.004999998,0.1000267,0.01000584,0.04456888,0,0.02000645,0,0.00561585,0.04800582,0,0,0,0.03300416,0.05,0.02,0.0499788,0,0,0,0,0,0,0,0.05,0,0.01,0,0,0,0,0,0,0,0
Polychaetes,0,0,0,0.0315,0.05618222,0,0.3,0.4997559,0.06,0.3683629,0.1,0,0,0,0.1312855,0,0,0,0,0.09179639,0,0.09198058,0,0,0.3049073,0,0.01700548,0,0.0499912,0.02740058,0,0,0,0.02000252,0,0.02,0.3866284,0.03,0.07000002,0,0,0,0,0,0.05,0.02,0.02,0.03,0,0,0,0,0,0,0
Small crustaceans,0.014,0,0,0.0315,0.04494577,0,0.35,0.151089,0.09700001,0.02631163,0.5,0.04999999,0.05126365,0,0.09088996,0.008,0.03,0.001,0.008000001,0.09757663,0,0.1400613,0.3000801,0,0.1499544,0.07003538,0.2299591,0.177,0.1099879,0.1499468,0,0.2898479,0.039,0.1399979,0,0.03,0.2019737,0.03,0.1,0.09,0,0.1,0.01,0.02,0.03,0.02999999,0.015,0.015,0,0,0,0,0,0,0
Macrozooplankton,0.205,0,0.05,0,0,0.1390024,0,0.0348667,0.08000001,0.1710256,0.2,0.04,0.01599426,0.05498683,0.09997693,0.019,0.005,0,0.02,0.04500038,0,0.139985,0.08000021,0.06000765,0.1109662,0.03001515,0.1509312,0.337,0.08799996,0.3389049,0.5,0.03999919,0.045,0.3299952,0.8,0.05,0.1949746,0.12,0.11,0,0,0,0,0.045,0.5,0.12,0.005,0.005,0,0,0.23,0,0,0,0
Microzooplankton,0.002,0,0.05,0,0,0,0,0,0,0.01315582,0,0,0,0,0,0.015,0.006,0,0.02,0,0,0,0,0,0,0.08604345,0.01950629,0.337,0,0.1507033,0.5,0.02748558,0,0.1499199,0.05,0,0,0.14,0.01,0,0,0,0,0.045,0.27,0.5000001,0.05,0.05,0.72,0,0.67,0,0,0,0
Jellies,0,0,0,0,0,0,0,0,0,0.1969689,0,0,0,0.1631417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01417683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00800258,0,0,0,0,0,0,0.1000126,0,0,0,0.09,0,0,0,0.028,0.25,0.235,0.05,0.3,0.1,0.05,0.28,1,0,0,0,0,0
Macrophytes,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0.03999077,0,0,0.02,0,0,0,0,0,0,0,0.002001011,0.1020329,0,0,0,0,0.008999778,0,0,0,0.01,0,0,0.05,0.039,0,0.169,0,0,0,0,0,0.05,0,0,0,0,0,0,0
Microphytobenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009997692,0,0,0,0,0,0,0,0,0,0,0,0.02700871,0,0,0,0,0,0,0,0,0.12,0,0.07,0.21,0.025,0,0.099,0.24,0.065,0,0.02999999,0.3,0.3,0,0,0,0,0,0,0
Detritus,0,0,0,0,0,0,0,0,0.576,0,0,0,0,0.009999952,0.01999538,0,0,0,0,0.2900252,0,0,0,0.1100845,0.05995946,0.001000505,0.1040335,0,0,0,0,0.01399266,0,0.04997331,0,0.2,0,0.52,0.21,0.05,0,0.47,0.5,0.58,0.05,0,0.5,0.5,0,0,0.1,0,0,0,0
