Prey \ predator,phytoplankton,infauna,amphipods,epibenthic,micro-zoop,copepods,euphausiids,carniv-zoops,small jellies,large jellies,pandalid shp,benthic shp,dungeness,tanner crb,cephalopods,forage fish,mesopelagics,benthic fish,macrourids,sardine,mackerel,salmon,hake,skates,dogfish,sablefish,juv rock,POP,canary,widow,yellowtail,black,shelf rock,slope rock,ssthorny,lsthorny,juv thorny,juv round,lingcod,juv flat,english,petrale,small flat,rex,dover,arrowtooth,halibut,albacore,coastal sharks,shearwaters,murres,gulls,orcas,toothed whales,sperm whales,harbor seals,sea lions,fur seals,grey whales,baleen whales,fishery offal,pelagic detritu,Detritus
mesopelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.005,0,0.05,0,0.01,0.002,0.016,0,0,0.03,0.004,0.06,0.02,0.035,0.05,0,0.1,0.02,0.02,0.1,0,0,0,0,0,0,0,0,0,0.004,0,0.2,0.025,0,0.01,0.02,0,0.07,0.05,0,0.02,0.024,0,0,0,0,0
benthic fish,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.05,0,0.004,0.002,0.002,0.065,0.07,0.08,0.003,0.01,0,0,0.01,0.03,0.05,0,0.05,0.05,0,0,0.25,0,0,0.19,0.01,0,0,0,0.05,0,0.025,0,0.002,0,0,0.01,0,0.05,0.02,0.011,0,0,0,0,0
macrourids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0,0,0,0,0,0,0,0
sardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0.001,0.001,0.02,0.05,0,0,0.025,0.05,0,0.1,0,0,0
mackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.06,0,0,0,0.02,0.03,0,0,0.022,0.027,0,0.01,0,0,0
salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.006,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0.01,0.01,0.1,0.02,0,0.1,0.05,0.07,0,0,0,0,0
hake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.002,0.025,0.05,0.2,0.136,0,0,0,0.02,0.01,0,0,0,0.15,0,0,0,0.1,0,0,0,0,0,0,0.5,0.45,0,0.25,0,0,0,0,0.15,0.05,0.1,0.22,0.148,0,0,0,0,0
skates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.04,0.005,0.025,0,0.02,0,0,0,0,0,0
dogfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.04,0.005,0.025,0,0.02,0,0,0,0,0,0
sablefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.05,0.01,0.025,0,0.01,0.02,0,0,0,0,0
juv rock,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.003,0,0,0.005,0.025,0.002,0,0.01,0.02,0,0,0,0.02,0.03,0.02,0.015,0,0.05,0.015,0,0,0.024,0,0,0,0,0,0,0.002,0,0.01,0,0.085,0.094,0.082,0,0,0,0,0.015,0,0,0,0,0,0
POP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0005,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.0005,0.002,0,0.002,0,0,0,0,0,0.02,0,0.002,0.005,0,0,0,0,0
canary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0001,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0005,0.0001,0,0.002,0,0,0,0,0.001,0.001,0.002,0.001,0.005,0,0,0,0,0
widow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.0074,0,0,0,0,0,0,0.005,0,0,0,0,0,0.008,0,0,0,0,0,0,0.001,0.004,0.005,0.01,0,0,0,0.003,0.02,0.01,0.005,0.02,0.03,0,0,0,0,0
yellowtail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.008,0,0,0,0,0,0,0.003,0,0,0,0,0,0.008,0,0,0,0,0,0,0.002,0.004,0.005,0.005,0,0,0,0.002,0.01,0.01,0.01,0.02,0.02,0,0,0,0,0
black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.001,0.001,0,0.01,0.01,0,0,0,0,0,0
shelf rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.005,0,0,0,0,0,0,0.001,0,0.002,0,0,0,0.008,0,0,0,0,0,0,0.002,0.005,0,0.005,0,0,0.001,0.001,0.002,0.01,0.005,0.005,0.015,0,0,0,0,0
slope rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.001,0,0,0.005,0,0.002,0.005,0,0,0,0,0
ssthorny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
lsthorny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv thorny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv round,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0.002,0,0,0.005,0.01,0,0.02,0.01,0.025,0,0,0,0.002,0.002,0.004,0.004,0,0,0,0,0,0.004,0,0,0,0,0,0,0.002,0.01,0,0.005,0.015,0,0,0,0.01,0,0.005,0.005,0.01,0,0,0,0,0
lingcod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0
juv flat,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.02,0,0,0.02,0.01,0,0.05,0.02,0.003,0,0,0,0.002,0.002,0,0.005,0,0,0,0,0,0.024,0,0,0.01,0.01,0,0,0.01,0.01,0,0,0,0.008,0.005,0,0,0,0,0,0,0,0,0,0,0
english,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.01,0.002,0,0,0,0,0,0.001,0.005,0,0,0,0,0,0.03,0,0,0.02,0,0,0,0.006,0.013,0,0.01,0,0,0,0,0.005,0,0.078,0.01,0,0,0,0,0,0
