Prey \ predator,Baleen whales,Toothed whales,Beaked whales,Seabirds,Pelagic sharks,Yellowfin,Bluefin,Skipjack,Albacore,Bigeye,Swordfish,Billfishes,Lg. Plank. fish,Lg. Epi. fish,Md. Epi. fish,Sm. Epi. fish,Lg. Meso fish,Sm. Meso fish,Sm. Bathyp. fish,Md. Bathyp.fish,Lg. Bathyp. fish,Sm. Bathyd. slp,Lg. Bathyd. slp,Sm. Bathyd. abs,Lg. Bathyd. abs,Sm Squids,Lg Squids,Benth. ceph.,Meiobenthos,Macrobenthos,Megabenthos,Het. bacteria,Sm. Zoop. shlw,Lg. Zoop. shlw,Sm. Zoop. deep,Lg. Zoop. deep,Phytoplankton,Detritus
Meiobenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199978,0.00134004,0,0.002760028,0,0,0.3,0.01,0.05,0.05,0,0,0,0,0,0,0
Macrobenthos,0,0.01214,0.06570868,0,0.00296,0,0,0,0,0,0,0,0.06332937,0.001430014,0.02602,0,0,0,0.07513,0.09207092,0,0.2279277,0.1574047,0.6547535,0.0500005,0,0,0.3,0,0,0,0,0,0,0,0,0,0
Megabenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1505985,0.2044661,0.09195908,0.5264652,0,0,0.2,0,0,0,0,0,0,0,0,0,0
Het. bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54908,0.4,0.4,0,0.05,0,0.05,0,0,0
Sm. Zoop. shlw,0.07835,0,0,0.11923,0,0.002039979,0,0,0,0,0,0,0.002609974,0.007150072,0.06437,0.78279,0,0.77702,0,0,0,0,0,0,0,0.19065,0,0,0,0,0,0,0.01,0.99,0.175,0.1,0,0
Lg. Zoop. shlw,0.71204,0,0,0.33356,0.02461,0.2138479,0.08333001,0.23656,0.12121,0.200698,0,0,0.6745133,0.2716327,0.50617,0.16165,0.15038,0.12037,0,0,0,0,0,0,0,0.52507,0.28316,0,0,0,0,0,0,0.01,0,0,0,0
Sm. Zoop. deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08611,0.09325,0.1911519,0.004499955,0.1790482,0.09820295,0.01584984,0,0.0141,0,0,0,0,0,0,0,0,0.01,0.7,0,0
Lg. Zoop. deep,0,0,0,0,0,0,0,0,0,0.004249958,0,0,0,0,0,0,0.01671,0.01306,0.43775,0.4346943,0.1616684,0.297567,0.08866266,0,0,0.03881,0.01666,0,0,0.05,0,0,0,0,0,0.01,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0.02287977,0,0.03775,0.02862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605,0,0,0,0,0
Detritus,0,0,0,0.08885,0.02227,0,0,0,0,0,0,0,0,0,0.0375,0.02694,0,0.00244,0.37387,0.1373614,0.4899951,0.03541965,0.07016211,0.2374376,0.4207742,0,0,0,0.44092,0.5,0.55,1,0.335,0,0.765,0.19,0,0
