Prey \ predator,Baleen whales,Toothed whales,Beaked whales,Seabirds,Pelagic sharks,Yellowfin,Bluefin,Skipjack,Albacore,Bigeye,Swordfish,Billfishes,Lg. Plank. fish,Lg. Epi. fish,Md. Epi. fish,Sm. Epi. fish,Lg. Meso fish,Sm. Meso fish,Sm. Bathyp. fish,Md. Bathyp.fish,Lg. Bathyp. fish,Sm. Bathyd. slp,Lg. Bathyd. slp,Sm. Bathyd. abs,Lg. Bathyd. abs,Sm Squids,Lg Squids,Benth. ceph.,Meiobenthos,Macrobenthos,Megabenthos,Het. bacteria,Sm. Zoop. shlw,Lg. Zoop. shlw,Sm. Zoop. deep,Lg. Zoop. deep,Phytoplankton,Detritus
Benth. ceph.,0,0.01214485,0.06571034,0,0,0,0,0,0,0.009969231,0,0,0,0,0,0,0,0,0,0,0,1.70E-05,0.001362633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meiobenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002202604,0.001342559,0,0.002762431,0,0,0.3,0.01000003,0.05,0.05,0,0,0,0,0,0,0
Macrobenthos,0,0.01214485,0.06571034,0,0.002955688,0,0,0,0,0,0,0,0.06333439,0.001429237,0.02602002,0,0,0,0.07513496,0.09207475,0,0.2279308,0.1573999,0.6547562,0.05,0,0,0.3,0,0,0,0,0,0,0,0,0,0
Megabenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1505999,0.2044645,0.09195708,0.5264641,0,0,0.2,0,0,0,0,0,0,0,0,0,0
Het. bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5490816,0.4,0.4,0,0.05,0,0.05,0,0,0
Sm. Zoop. shlw,0.07834984,0,0,0.1192287,0,0.00203666,0,0,0,0,0,0,0.002606354,0.007146189,0.06437494,0.7827919,0,0.777023,0,0,0,0,0,0,0,0.1906492,0,0,0,0,0,0,0.01,0.99,0.175,0.1,0,0
Lg. Zoop. shlw,0.7120388,0,0,0.3335608,0.02460611,0.2138493,0.08333334,0.2365592,0.1212121,0.2006996,0,0,0.6745243,0.2716346,0.5061656,0.1616493,0.1503759,0.1203677,0,0,0,0,0,0,0,0.5250697,0.2831612,0,0,0,0,0,0,0.01,0,0,0,0
Sm. Zoop. deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08610929,0.09325107,0.1911506,0.004499992,0.1790527,0.09820342,0.01585018,0,0.01410414,0,0,0,0,0,0,0,0,0.01,0.7,0,0
Lg. Zoop. deep,0,0,0,0,0,0,0,0,0,0.004245494,0,0,0,0,0,0,0.01670844,0.01305999,0.4377459,0.4346941,0.1616692,0.2975691,0.08866278,0,0,0.03880725,0.01666073,0,0,0.05,0,0,0,0,0,0.01,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0.02287799,0,0.03774996,0.02862122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605,0,0,0,0,0
Detritus,0,0,0,0.08884525,0.02227323,0,0,0,0,0,0,0,0,0,0.03749996,0.02693762,0,0.002440004,0.3738681,0.1373603,0.4899992,0.0354156,0.07016445,0.2374365,0.4207735,0,0,0,0.4409184,0.5,0.55,1,0.335,0,0.765,0.19,0,0
