Prey \ predator,Rastrelliger spp.,Scomberomorus,Carangidae,Pomfret,Small pelagics,False trevally,L. piscivores,Scianidae,Saurida spp.,Lutianidae,Plectorhynchidae,Priacanthus spp.,Sillago,Nemipterus spp.,Ariidae,Rays,Sharks,Cephalopod,Shrimps,"Crab, Lobster",Trashfish,Small demersal,Dem.piscivore,Dem.benthivore,Shellfish,Jellyfish,Sea cucumber,Seaweeds,Coastal tuna,Sergestid shrimp,Mammals,Pony fishes,Benthos,Zooplankton,Juv pelagic,Juv caranx,Juv saurida,Juv Nemipterus,Phytoplankton,Detritus
Mammals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pony fishes,0,0,0.1,0,0,0,0,0.1,0.05,0,0,0.1,0,0,0,0,0,0.02,0,0,0,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthos,0,0,0.05,0.2,0,0,0,0.2,0.1,0.04999999,0.8,0.2,0.8,0.5,0.8,0.78,0.09999999,0,0.2,0.5,0.25,0.4,0.05,0.8,0,0,0,0,0,0.2,0.2,0.3,0.1,0,0,0,0,0,0,0
Zooplankton,0.85,0.1,0.2,0.2,0.9,0.2,0,0,0,0,0,0.2,0,0.3,0,0,0,0.5500001,0.1,0,0.25,0.4,0,0,0.2,1,0,0,0,0.1,0.08000001,0.3,0.1,0,1,1,1,1,0,0
Juv pelagic,0.05,0.025,0,0,0,0.2,0,0.025,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.02000001,0,0,0,0,0,0,0,0,0,0,0
Juv caranx,0,0.025,0,0,0,0.2,0,0.025,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.02000001,0,0,0,0,0,0,0,0,0,0,0
Juv saurida,0,0.025,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02000001,0,0,0,0,0,0,0,0,0,0,0
Juv Nemipterus,0,0.025,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02000001,0,0,0,0,0,0,0,0,0,0,0
Phytoplankton,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.8,0,0,0,0,0,0,0,0.2,0.9,0,0,0,0,0,0
Detritus,0,0,0,0,0,0,0,0.1,0,0,0.05,0,0,0.1,0,0.1,0,0,0.7,0.5,0.25,0,0,0.02,0,0,1,0,0,0.7,0,0.4,0.59,0.1,0,0,0,0,0,0
